Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1960-10-05,Mr. Custer,Larry Verne,1,3,1,7,#
1960-10-12,Save The Last Dance For Me,The Drifters,1,4,1,7,https://charts-static.billboard.com/img/1960/09/the-drifters-mcs-106x106.jpg
1960-10-19,I Want To Be Wanted,Brenda Lee,1,4,1,7,https://charts-static.billboard.com/img/1960/09/brenda-lee-liu-180x180.jpg
1960-10-26,Save The Last Dance For Me,The Drifters,1,2,1,9,https://charts-static.billboard.com/img/1960/09/the-drifters-mcs-106x106.jpg
1960-11-02,Save The Last Dance For Me,The Drifters,1,1,1,10,https://charts-static.billboard.com/img/1960/09/the-drifters-mcs-106x106.jpg
1960-11-09,Georgia On My Mind,Ray Charles,1,4,1,8,https://charts-static.billboard.com/img/1958/12/ray-charles-lfr-180x180.jpg
1960-11-16,Stay,Maurice Williams & The Zodiacs,1,6,1,8,#
1960-11-23,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1,2,1,3,https://charts-static.billboard.com/img/2017/06/elvis-presley-180x180.jpg
1960-11-30,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1,1,1,4,https://charts-static.billboard.com/img/2017/06/elvis-presley-180x180.jpg
1960-12-07,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1,1,1,5,https://charts-static.billboard.com/img/2017/06/elvis-presley-180x180.jpg
1960-12-14,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1,1,1,6,https://charts-static.billboard.com/img/2017/06/elvis-presley-180x180.jpg
1960-12-21,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1,1,1,7,https://charts-static.billboard.com/img/2017/06/elvis-presley-180x180.jpg
1960-12-28,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1,1,1,8,https://charts-static.billboard.com/img/2017/06/elvis-presley-180x180.jpg
1961-01-04,Wonderland By Night,Bert Kaempfert And His Orchestra,1,2,1,9,https://charts-static.billboard.com/img/1960/11/bert-kaempfert-and-his-orchestra-s53-180x180.jpg
1961-01-11,Wonderland By Night,Bert Kaempfert And His Orchestra,1,1,1,10,https://charts-static.billboard.com/img/1960/11/bert-kaempfert-and-his-orchestra-s53-180x180.jpg
1961-01-18,Wonderland By Night,Bert Kaempfert And His Orchestra,1,1,1,11,https://charts-static.billboard.com/img/1960/11/bert-kaempfert-and-his-orchestra-s53-180x180.jpg
1961-01-25,Will You Love Me Tomorrow,The Shirelles,1,4,1,11,https://charts-static.billboard.com/img/1960/11/the-shirelles-mpw-155x155.jpg
1961-02-01,Will You Love Me Tomorrow,The Shirelles,1,1,1,12,https://charts-static.billboard.com/img/1960/11/the-shirelles-mpw-155x155.jpg
1961-02-08,Calcutta,Lawrence Welk And His Orchestra,1,2,1,10,https://charts-static.billboard.com/img/1960/12/lawrence-welk-and-his-orchestra-oa9-180x180.jpg
