uri,danceability,energy,key,key,loudness,loudness,mode,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,loudness,tempo,tempo,tempo_confidence,time_signature,time_signature,time_signature_confidence,key,key,key_confidence,mode,mode,mode_confidence
spotify:track:4LJcNiq2pBb8OeqrGdBJQw,0.558,0.223,10,10,-12.362,-12.362,1,1,0.029900000000000003,0.868,0.000972,0.13,0.303,101.711,101.711,audio_features,4LJcNiq2pBb8OeqrGdBJQw,https://api.spotify.com/v1/tracks/4LJcNiq2pBb8OeqrGdBJQw,https://api.spotify.com/v1/audio-analysis/4LJcNiq2pBb8OeqrGdBJQw,161547,3,3,3562104,161.54668,22050,1,0.17084,154.75519,-12.362,-12.362,101.711,101.711,0.031,3,3,1.0,10,10,0.709,1,1,0.661
spotify:track:4aTCNddtjztjuK2EOgz7ZZ,0.8140000000000001,0.427,2,2,-11.543,-11.543,1,1,0.0918,0.558,0.0,0.024800000000000003,0.964,123.109,123.109,audio_features,4aTCNddtjztjuK2EOgz7ZZ,https://api.spotify.com/v1/tracks/4aTCNddtjztjuK2EOgz7ZZ,https://api.spotify.com/v1/audio-analysis/4aTCNddtjztjuK2EOgz7ZZ,143733,4,4,3169320,143.73334,22050,1,1.0854,139.09914,-11.543,-11.543,123.109,123.109,0.965,4,4,1.0,2,2,0.589,1,1,0.494
spotify:track:6yP3V5FXNNJU8Z441vxhCV,0.633,0.365,4,4,-14.94,-14.94,1,1,0.0403,0.428,0.0037800000000000004,0.5690000000000001,0.743,126.266,126.266,audio_features,6yP3V5FXNNJU8Z441vxhCV,https://api.spotify.com/v1/tracks/6yP3V5FXNNJU8Z441vxhCV,https://api.spotify.com/v1/audio-analysis/6yP3V5FXNNJU8Z441vxhCV,193907,4,4,4275642,193.90668,22050,1,0.28082,191.39047,-14.94,-14.94,126.266,126.266,0.737,4,4,1.0,4,4,0.799,1,1,0.556
spotify:track:4YCnTYbq3oL1Lqpyxg33CU,0.5710000000000001,0.618,4,4,-5.682,-5.682,1,1,0.0371,0.18,2.6899999999999997e-06,0.178,0.852,156.892,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/tracks/4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/audio-analysis/4YCnTYbq3oL1Lqpyxg33CU,155040,4,4,3418632,155.04,22050,1,0.19297,151.6205,-5.682,-5.682,156.892,156.892,0.399,4,4,0.751,4,4,0.692,1,1,0.497
spotify:track:7qinPLZ41lgIGuT40EAFs0,0.495,0.539,6,6,-6.088,-6.088,1,1,0.033600000000000005,0.8190000000000001,0.0,0.325,0.715,109.49,109.49,audio_features,7qinPLZ41lgIGuT40EAFs0,https://api.spotify.com/v1/tracks/7qinPLZ41lgIGuT40EAFs0,https://api.spotify.com/v1/audio-analysis/7qinPLZ41lgIGuT40EAFs0,152267,4,4,3357480,152.26666,22050,1,0.34902,145.82132,-6.088,-6.088,109.49,109.49,0.101,4,4,1.0,6,6,0.712,1,1,0.871
spotify:track:0afR4FfSwgg5QFF1Wpuwil,0.6940000000000001,0.6990000000000001,4,4,-4.8629999999999995,-4.863,0,0,0.054400000000000004,0.707,8.480000000000001e-05,0.156,0.585,108.495,108.495,audio_features,0afR4FfSwgg5QFF1Wpuwil,https://api.spotify.com/v1/tracks/0afR4FfSwgg5QFF1Wpuwil,https://api.spotify.com/v1/audio-analysis/0afR4FfSwgg5QFF1Wpuwil,184867,4,4,4076310,184.86667,22050,1,0.26141,179.7805,-4.8629999999999995,-4.863,108.495,108.495,0.491,4,4,0.834,4,4,0.966,0,0,0.758
spotify:track:391TUcoPonqYykPkSZ5Z9U,0.54,0.53,4,4,-10.583,-10.583,1,1,0.0361,0.614,0.0,0.198,0.896,143.453,143.453,audio_features,391TUcoPonqYykPkSZ5Z9U,https://api.spotify.com/v1/tracks/391TUcoPonqYykPkSZ5Z9U,https://api.spotify.com/v1/audio-analysis/391TUcoPonqYykPkSZ5Z9U,154960,4,4,3416868,154.96,22050,1,0.81184,144.25977,-10.583,-10.583,143.453,143.453,0.168,4,4,1.0,4,4,0.837,1,1,0.662
spotify:track:03cB3gd91JsP3bCERC6Lmf,0.515,0.41200000000000003,8,8,-6.322,-6.322,1,1,0.027700000000000002,0.593,0.0,0.218,0.392,107.61,107.61,audio_features,03cB3gd91JsP3bCERC6Lmf,https://api.spotify.com/v1/tracks/03cB3gd91JsP3bCERC6Lmf,https://api.spotify.com/v1/audio-analysis/03cB3gd91JsP3bCERC6Lmf,185960,3,3,4100418,185.96,22050,1,0.15488,180.7093,-6.322,-6.322,107.61,107.61,0.719,3,3,1.0,8,8,0.536,1,1,0.658
spotify:track:6yMGxqKj0218mFR5KqsMRq,0.19,0.323,7,7,-12.405,-12.405,1,1,0.0303,0.626,2.17e-06,0.176,0.281,94.34,94.34,audio_features,6yMGxqKj0218mFR5KqsMRq,https://api.spotify.com/v1/tracks/6yMGxqKj0218mFR5KqsMRq,https://api.spotify.com/v1/audio-analysis/6yMGxqKj0218mFR5KqsMRq,219560,4,4,4841298,219.56,22050,1,0.6839,211.98659,-12.405,-12.405,94.34,94.34,0.022,4,4,0.091,7,7,0.184,1,1,0.385
spotify:track:12BB5t506Of3s3NPBoKScC,0.485,0.755,8,8,-6.839,-6.839,0,0,0.07050000000000001,0.8260000000000001,0.0,0.329,0.8160000000000001,123.495,123.495,audio_features,12BB5t506Of3s3NPBoKScC,https://api.spotify.com/v1/tracks/12BB5t506Of3s3NPBoKScC,https://api.spotify.com/v1/audio-analysis/12BB5t506Of3s3NPBoKScC,97493,4,4,2149728,97.49333,22050,1,0.7605,86.96454,-6.839,-6.839,123.495,123.495,0.558,4,4,1.0,8,8,0.44,0,0,0.473
