Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Track URI
1973-10-03,Half-Breed,Cher,1,3,1,10,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,spotify:track:23jaOlnV7vHmly51DPBr35
1973-10-10,Half-Breed,Cher,1,1,1,11,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,spotify:track:23jaOlnV7vHmly51DPBr35
1973-10-17,Angie,The Rolling Stones,1,5,1,7,https://charts-static.billboard.com/img/1964/05/the-rolling-stones-pxx-180x180.jpg,spotify:track:1GcVa4jFySlun4jLSuMhiq
1973-10-24,Midnight Train To Georgia,Gladys Knight And The Pips,1,5,1,9,https://charts-static.billboard.com/img/1973/08/gladys-knight-and-the-pips-dym-180x180.jpg,spotify:track:7MF7QAodbGzNYav5ZfIhAY
1973-10-31,Midnight Train To Georgia,Gladys Knight And The Pips,1,1,1,10,https://charts-static.billboard.com/img/1973/08/gladys-knight-and-the-pips-dym-180x180.jpg,spotify:track:7MF7QAodbGzNYav5ZfIhAY
1973-11-07,Keep On Truckin' (Part 1),Eddie Kendricks,1,3,1,12,https://charts-static.billboard.com/img/1973/08/eddie-kendricks-z44-180x180.jpg,spotify:track:5CiOCxc3argOhj5qKNZGN0
1973-11-14,Keep On Truckin' (Part 1),Eddie Kendricks,1,1,1,13,https://charts-static.billboard.com/img/1973/08/eddie-kendricks-z44-180x180.jpg,spotify:track:5CiOCxc3argOhj5qKNZGN0
1973-11-21,Photograph,Ringo Starr,1,4,1,8,https://charts-static.billboard.com/img/1963/04/ringo-starr-4sk-180x180.jpg,spotify:track:1hwN2eAwsXgktvw9Qe8TrP
1973-11-28,Top Of The World,Carpenters,1,3,1,9,https://charts-static.billboard.com/img/1973/10/carpenters-s0f-180x180.jpg,spotify:track:1Ehdm1PDlKrdfyBsjwEvd1
1973-12-05,Top Of The World,Carpenters,1,1,1,10,https://charts-static.billboard.com/img/1973/10/carpenters-s0f-180x180.jpg,spotify:track:1Ehdm1PDlKrdfyBsjwEvd1
1973-12-12,The Most Beautiful Girl,Charlie Rich,1,3,1,12,https://charts-static.billboard.com/img/1973/09/charlie-rich-1ud-180x180.jpg,spotify:track:542C7PqR1oEfl63hlhQO4V
1973-12-19,The Most Beautiful Girl,Charlie Rich,1,1,1,13,https://charts-static.billboard.com/img/1973/09/charlie-rich-1ud-180x180.jpg,spotify:track:542C7PqR1oEfl63hlhQO4V
1973-12-26,Time In A Bottle,Jim Croce,1,3,1,7,https://charts-static.billboard.com/img/1973/11/jim-croce-7dg-180x180.jpg,spotify:track:7uWFUpGuEfmxYeymkV95jn
1974-01-02,Time In A Bottle,Jim Croce,1,1,1,8,https://charts-static.billboard.com/img/1973/11/jim-croce-7dg-180x180.jpg,spotify:track:7uWFUpGuEfmxYeymkV95jn
1974-01-09,The Joker,The Steve Miller Band,1,2,1,13,https://charts-static.billboard.com/img/1973/10/the-steve-miller-band-s0o-106x106.jpg,spotify:track:1bp2IO61zbQrbWNmKKxg3f
1974-01-16,Show And Tell,Al Wilson,1,3,1,14,https://charts-static.billboard.com/img/1973/10/al-wilson-xwh-180x180.jpg,spotify:track:2vhW1OmaZDYi63Da9d8R5o
1974-01-23,You're Sixteen,Ringo Starr,1,5,1,7,https://charts-static.billboard.com/img/1963/04/ringo-starr-4sk-180x180.jpg,spotify:track:4MAxWahEbzU8m4bD6mSZg9
1974-01-30,The Way We Were,Barbra Streisand,1,3,1,11,https://charts-static.billboard.com/img/1963/08/barbra-streisand-98o-180x180.jpg,spotify:track:1vZTgn4JXWMahR8r99ug5H
1974-02-06,Love's Theme,Love Unlimited Orchestra,1,3,1,11,#,spotify:track:5csdrJ0JtFn0qvwlvSh2EI
1974-02-13,The Way We Were,Barbra Streisand,1,2,1,13,https://charts-static.billboard.com/img/1963/08/barbra-streisand-98o-180x180.jpg,spotify:track:1vZTgn4JXWMahR8r99ug5H
1974-02-20,The Way We Were,Barbra Streisand,1,1,1,14,https://charts-static.billboard.com/img/1963/08/barbra-streisand-98o-180x180.jpg,spotify:track:1vZTgn4JXWMahR8r99ug5H
1974-02-27,Seasons In The Sun,Terry Jacks,1,2,1,8,#,spotify:track:7pGMRy91RcQT9oHdPgYz3A
1974-03-06,Seasons In The Sun,Terry Jacks,1,1,1,9,#,spotify:track:7pGMRy91RcQT9oHdPgYz3A
1974-03-13,Seasons In The Sun,Terry Jacks,1,1,1,10,#,spotify:track:7pGMRy91RcQT9oHdPgYz3A
1974-03-20,Dark Lady,Cher,1,3,1,10,https://charts-static.billboard.com/img/1965/07/cher-tsg-180x180.jpg,spotify:track:0xL3tjPSUJncbnIOn1uPhZ
1974-03-27,Sunshine On My Shoulders,John Denver,1,3,1,10,https://charts-static.billboard.com/img/1974/01/john-denver-3ts-106x106.jpg,spotify:track:3m8lTUL5GxGUNSaycI77ND
1974-04-03,Hooked On A Feeling,Blue Swede,1,2,1,8,https://charts-static.billboard.com/img/1974/02/blue-swede-q0a-155x155.jpg,spotify:track:2Nz6aF1umHh5Et6I5H581L
1974-04-10,Bennie And The Jets,Elton John,1,2,1,9,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg,spotify:track:5Wj1rJnCLpMHdLaxsFtJLs
1974-04-17,TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,1,3,1,8,https://charts-static.billboard.com/img/1974/03/mfsb-ww1-106x106.jpg,spotify:track:7kllQQPam6HumbUCIPSvHJ
1974-04-24,TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,1,1,1,9,https://charts-static.billboard.com/img/1974/03/mfsb-ww1-106x106.jpg,spotify:track:7kllQQPam6HumbUCIPSvHJ
1974-05-01,The Loco-Motion,Grand Funk,1,4,1,9,https://charts-static.billboard.com/img/1974/03/grand-funk-railroad-6id-106x106.jpg,spotify:track:0PxYWaGiwWtcuL1VIMiEW4
1974-05-08,The Loco-Motion,Grand Funk,1,1,1,10,https://charts-static.billboard.com/img/1974/03/grand-funk-railroad-6id-106x106.jpg,spotify:track:0PxYWaGiwWtcuL1VIMiEW4
1974-05-15,The Streak,Ray Stevens,1,2,1,6,https://charts-static.billboard.com/img/1974/04/ray-stevens-kgr-180x180.jpg,spotify:track:7FUk1EkNJLXyjadbiHlw0C
1974-05-22,The Streak,Ray Stevens,1,1,1,7,https://charts-static.billboard.com/img/1974/04/ray-stevens-kgr-180x180.jpg,spotify:track:7FUk1EkNJLXyjadbiHlw0C
1974-05-29,The Streak,Ray Stevens,1,1,1,8,https://charts-static.billboard.com/img/1974/04/ray-stevens-kgr-180x180.jpg,spotify:track:7FUk1EkNJLXyjadbiHlw0C
