Date,Song,Artist,Weeks in Charts,Track ID
1963-02-06,Hey Paula,Paul and Paula,7,3kl9waNDdEv2BqDJBu9fuw
1963-02-13,Hey Paula,Paul and Paula,8,3kl9waNDdEv2BqDJBu9fuw
1963-02-20,Hey Paula,Paul and Paula,9,3kl9waNDdEv2BqDJBu9fuw
1963-02-27,Walk Like A Man,The 4 Seasons,6,4C76SOnBa9eQDwOwe11hPz
1963-03-06,Walk Like A Man,The 4 Seasons,7,4C76SOnBa9eQDwOwe11hPz
1963-03-13,Walk Like A Man,The 4 Seasons,8,4C76SOnBa9eQDwOwe11hPz
1963-03-20,Our Day Will Come,Ruby And The Romantics,7,3ngYXFSYtF5mHguNCA3JZ0
1963-03-27,He's So Fine,The Chiffons,6,2Bs1Lw9LX8hBm70t1iGdlh
1963-04-03,He's So Fine,The Chiffons,7,2Bs1Lw9LX8hBm70t1iGdlh
1963-04-10,He's So Fine,The Chiffons,8,2Bs1Lw9LX8hBm70t1iGdlh
1963-04-17,He's So Fine,The Chiffons,9,2Bs1Lw9LX8hBm70t1iGdlh
1963-04-24,I Will Follow Him,Little Peggy March,6,7dFKoNC2k5qgbXrbcMCHQ0
1963-05-01,I Will Follow Him,Little Peggy March,7,7dFKoNC2k5qgbXrbcMCHQ0
1963-05-08,I Will Follow Him,Little Peggy March,8,7dFKoNC2k5qgbXrbcMCHQ0
1963-05-15,If You Wanna Be Happy,Jimmy Soul,8,7D97JnBT73FWUh9KmRvP9M
1963-05-22,If You Wanna Be Happy,Jimmy Soul,9,7D97JnBT73FWUh9KmRvP9M
1963-05-29,It's My Party,Lesley Gore,4,1Pq47iFLC5U7j8xeNiNcuS
1963-06-05,It's My Party,Lesley Gore,5,1Pq47iFLC5U7j8xeNiNcuS
1963-06-12,Sukiyaki,Kyu Sakamoto,6,6meIeOX3DHdaCnaNw67abE
1963-06-19,Sukiyaki,Kyu Sakamoto,7,6meIeOX3DHdaCnaNw67abE
1963-06-26,Sukiyaki,Kyu Sakamoto,8,6meIeOX3DHdaCnaNw67abE
1963-07-03,Easier Said Than Done,The Essex,5,2C5p7j2gw7Jr2VAZDiNP4u
1963-07-10,Easier Said Than Done,The Essex,6,2C5p7j2gw7Jr2VAZDiNP4u
1963-07-17,Surf City,Jan & Dean,6,1Oewmmr12xuhgzvUJ9Q0cf
1963-07-24,Surf City,Jan & Dean,7,1Oewmmr12xuhgzvUJ9Q0cf
1963-07-31,So Much In Love,The Tymes,10,6h0LLmMVZY108wNzD5UM6O
1963-08-07,Fingertips - Pt 2,Little Stevie Wonder,8,6SvMoVRctg7Z3jDtlYIYlL
1963-08-14,Fingertips - Pt 2,Little Stevie Wonder,9,6SvMoVRctg7Z3jDtlYIYlL
1963-08-21,Fingertips - Pt 2,Little Stevie Wonder,10,6SvMoVRctg7Z3jDtlYIYlL
1963-08-28,My Boyfriend's Back,The Angels,5,5NiFSI8iIDtVm1NCwdYrHS
1963-09-04,My Boyfriend's Back,The Angels,6,5NiFSI8iIDtVm1NCwdYrHS
1963-09-11,My Boyfriend's Back,The Angels,7,5NiFSI8iIDtVm1NCwdYrHS
1963-09-18,Blue Velvet,Bobby Vinton,7,3WO8ZBnOtad3xMz46Z54pY
1963-09-25,Blue Velvet,Bobby Vinton,8,3WO8ZBnOtad3xMz46Z54pY
1963-10-02,Blue Velvet,Bobby Vinton,9,3WO8ZBnOtad3xMz46Z54pY
1963-10-09,Sugar Shack,Jimmy Gilmer And The Fireballs,4,18CglpvgJf2PbHcFijT6gf
1963-10-16,Sugar Shack,Jimmy Gilmer And The Fireballs,5,18CglpvgJf2PbHcFijT6gf
1963-10-23,Sugar Shack,Jimmy Gilmer And The Fireballs,6,18CglpvgJf2PbHcFijT6gf
1963-10-30,Sugar Shack,Jimmy Gilmer And The Fireballs,7,18CglpvgJf2PbHcFijT6gf
1963-11-06,Sugar Shack,Jimmy Gilmer And The Fireballs,8,18CglpvgJf2PbHcFijT6gf
1963-11-13,Deep Purple,Nino Tempo & April Stevens,10,5kJez8nvgq0HqhWy3UTQFx
1963-11-20,I'm Leaving It Up To You,Dale & Grace,8,4To8mxhdtvoKpELxEHOGGU
1963-11-27,I'm Leaving It Up To You,Dale & Grace,9,4To8mxhdtvoKpELxEHOGGU
1963-12-04,Dominique,The Singing Nun (Soeur Sourire),5,4ns69146GVKS3AwM922kTE
