Song,Artist,Track ID
Last Train To Clarksville,The Monkees,3h4t9qpFktohHeUQc3hZCa
Poor Side Of Town,Johnny Rivers,60DmpUd1BnemzjASiUewnf
You Keep Me Hangin' On,The Supremes,4a01ClusxuZiloOK5UgLUn
Winchester Cathedral,The New Vaudeville Band,3Q51jQuzjEDMTyFX4pT2dK
Good Vibrations,The Beach Boys,5t9KYe0Fhd5cW6UYT4qP8f
I'm A Believer,The Monkees,3G7tRC24Uh09Hmp1KZ7LQ2
Kind Of A Drag,The Buckinghams,3RnsnfrquBAy6kIejQzc2C
Ruby Tuesday,The Rolling Stones,4hupcimlg3UBbW1kAQ6vrT
Love Is Here And Now You're Gone,The Supremes,4KUGhh0lsJ8GxQJ1Um8UrB
Penny Lane,The Beatles,1h04XMpzGzmAudoI6VHBgA
Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,4feXcsElKIVsGwkbnTHAfV
The Happening,The Supremes,6IrBgAF2nSiwrdbIcaCKnp
Groovin',The Young Rascals,3c2kMiSB86tVq1J4oULmvL
Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr
Windy,The Association,1lHiKWnlJtjzA4vHnjAr39
Light My Fire,The Doors,5uvosCdMlFdTXhoazkTI5R
All You Need Is Love,The Beatles,68BTFws92cRztMS1oQ7Ewj
Ode To Billie Joe,Bobbie Gentry,4FdDorlbJTVHcH3djLbIfn
The Letter,The Box Tops,6RJK553YhstRzyKA4mug09
To Sir With Love,Lulu,0gBFr7N2D1GfhkXIIepIGG
Incense And Peppermints,Strawberry Alarm Clock,16iApoNZYaN6gbMtRRVV6B
Daydream Believer,The Monkees,7uEcCGtM1FBBGIhPozhJjv
Hello Goodbye,The Beatles,0vZ97gHhemKm6c64hTfJNA
Judy In Disguise (With Glasses),John Fred And The Playboys,2p7mA5rSVwIaoNslO9zylp
Green Tambourine,The Lemon Pipers,240FNg8tSGXr9OGswVMuO6
Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,6vUhLEkY17FlxjEysVA6SX
(Sittin' On) The Dock Of The Bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF
Honey,Bobby Goldsboro,2Qhvi6R73Zj3cpzRYzcAww
Tighten Up,Archie Bell & The Drells,6IIcvtmuGpWIasqOpyGlyY
Mrs. Robinson,Simon & Garfunkel,0iOZM63lendWRTTeKhZBSC
This Guy's In Love With You,Herb Alpert,5hffP5gJFe1zByXf7BIeYq
Grazing In The Grass,Hugh Masekela,2P6Buc8kWRgShx7aHIadqu
Hello; I Love You,The Doors,3bWGaqVeYKMlLss40mPgNn
