track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
1GJCJpKYfzRUsYnSRy4Mfz,0.659,0.465,0,-9.53,1,0.0572,0.746,0.00458,0.0963,0.889,148.894,167480,4,167.48,0.374,0.892,0.68,0.594
7CZiDzGVjUssMSOXrDNYHL,0.519,0.85,9,-6.777,1,0.0677,0.0457,0.0,0.232,0.75,123.422,189680,4,189.68,0.742,0.729,0.394,0.372
3haZcHm3HydDVxm3je3Zmg,0.545,0.749,1,-6.243,1,0.0297,0.311,0.0007059999999999,0.0633,0.8300000000000001,139.769,168240,4,168.24,0.75,1.0,0.798,0.712
2WjW8DjQru6Ic4KvYDqLys,0.6960000000000001,0.521,0,-11.168,1,0.0273,0.0182,1.4700000000000002e-05,0.404,0.479,121.215,174307,4,174.30667,0.971,0.988,0.294,0.383
6b6IMqP565TbtFFZg9iFf3,0.667,0.599,0,-8.894,1,0.0291,0.245,0.0,0.107,0.971,127.935,160280,4,160.28,0.848,1.0,0.619,0.489
2HCaIYjkvWSZzaSKUoOh3d,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,149467,4,149.46667,0.428,0.834,0.255,0.553
2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4,222.81332,0.935,1.0,0.92,0.698
39Jr3Nu48BQzLSmlPGSniP,0.668,0.644,9,-10.059,1,0.0731,0.082,0.0329,0.0865,0.839,93.195,109893,4,109.89333,0.199,1.0,0.713,0.503
4SGBuq37Ol4HJr7pQqFMKa,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6000000000000001,110.583,190080,3,190.08,0.817,0.773,1.0,0.765
7DD7eSuYSC5xk2ArU62esN,0.534,0.725,6,-7.576,0,0.0333,0.188,0.0,0.0994,0.767,94.963,139560,4,139.56,0.261,1.0,0.145,0.407
1Zi2ezNOqt9y9irC11xYpN,0.613,0.307,2,-17.385,1,0.0414,0.387,4.519999999999999e-06,0.087,0.789,117.305,215827,4,215.82668,0.648,1.0,1.0,0.68
0i7O5MtSTXvR4BEY7stpjF,0.765,0.516,7,-12.099,1,0.0334,0.167,0.0,0.0723,0.936,115.248,231800,4,231.8,0.784,1.0,0.542,0.651
3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.524,125667,4,125.66667,0.214,0.922,0.563,0.604
263Iuyk08ks1v6FIudUIGD,0.579,0.877,4,-8.83,1,0.0488,0.0289,0.5710000000000001,0.0656,0.9,126.336,175080,4,175.08,0.912,0.783,0.577,0.622
