Song,Artist,Track ID
pick up the pieces,awb,2x1LQq8lsUzAA2wNj8yjC9
best of my love,eagles,5MLLuLqPdUlx8bfKtdkLwO
have you never been,olivia newton-john,5ehVOC0zSdwWqyZlhomJSi
black water,the doobie,4p8QcNkaq2FQj8uGJ7HEDK
my eyes adored you,frankie valli,2yDQVcj26tpi9IUJhw9xDs
lady marmalade,labelle,17VWTx7LD7liGlpnlGhUbn
lovin' you,minnie riperton,3ebYtLVuV4HzEZUDcpZB9p
philadelphia freedom,the elton,2Tl39kuwt9hDAQS6Dj8uuG
another somebody done somebody,b.j. thomas,0b7qiL1rLbUUpGXczt7p5T
he don't love you,tony orlando,0XaaoZUWQFzcFiQbXKhABU
shining star,earth wind,0RgcOUQg4qYAEt9RIdf3oB
before the next teardrop,freddy fender,2SVW5774QbmEjWfbHOEnz3
thank god i'm a,john denver,69HICMmc6nNLucAx3aJX9M
sister golden hair,america,5VSAonaAPhhGn0G7hMYwWK
love will keep us,the captain,0QmBMkTnJkC1dWNDd0sBWG
listen to what the,wings,0SkpjIqhANcC2QQu8DIuwG
the hustle,van mccoy,6hYT9vkr0xMjhBlaLsYq9T
one of these nights,eagles,608xszaAxVh4m7NcKJiAbF
jive talkin',bee gees,4t0Pj3iBnSCZv5pDEPNmzG
fallin' in love,hamilton joe,4XrbcxI03ARSyqU8jE3pXy
get down tonight,kc and,2qVZpGu1v98tvUAutqyAfJ
rhinestone cowboy,glen campbell,0VwTeYNjcl30DyQlt3GPe0
fame,david bowie,1PehfITh0TTRx3LkDdV4h3
i'm sorry,john denver,5opuphTIXgUUClEs5mnIQN
bad blood,neil sedaka,5ABrBYbzepxzcW9pLIWw1j
island girl,elton john,2u3UJ9KyduTnbi9yUVGYfW
that's the way,kc and,1qiQduM84A0VeH8Y2uAbqi
fly robin fly,silver convention,4Wr14AISsCuBGdkA6rids4
let's do it again,the staple,1YQIOrrOg1UDqZCGcZWQ0a
saturday night,bay city,78zYiMv9yNTHgmm6kaUPCm
convoy,c.w. mccall,6dGWq08LXuIw6T2oUeHECh
i write the songs,barry manilow,12FZTFRyd4RBzvKf8RB0zO
theme from mahogany,diana ross,10VbGCpgC4FtmYSwBLvIDX
love rollercoaster,ohio players,1hRDHWWealh2Pk3fnpIe75
50 ways to leave,paul simon,6Qb7gtV6Q4MnUjSbkFcopl
theme from s.w.a.t.,rhythm heritage,5x9xxVr7nJ9xMfDIW02Nv3
love machine,the miracles,2j4k2Q2SGEijVhTv8pycv2
december 1963,the 4,1hQFF33xi8ruavZNyovtUN
disco lady,johnnie taylor,1tMyqN7bNCokdg7jWgKPc8
let your love flow,bellamy brothers,064SVQsmWl5EF0zahmzkQk
welcome back,john sebastian,2pS6zWWQCpO0IVEBIbzJh8
boogie fever,the sylvers,3FZB0xezeoc1ddx72eg7iF
silly love songs,wings,3uiMBldZ07pW0ySHDX5gzE
love hangover,diana ross,4UqPeeSyRt59KZmC0aA2Ni
afternoon delight,starland vocal,1pBAsoHy7eN9aeVCTAiKua
kiss and say goodbye,the manhattans,0rHiGIRASJq8snJGFJMpnI
don't go breaking my,elton john,7HW5WIw7ZgZORCzUxv5gW5
you should be dancing,bee gees,2xiOdusRnZezQok1RgLNeS
shake your booty,kc and,3Is0Nnz59rzbNZE491URlY
play that funky music,wild cherry,5uuJruktM9fMdN9Va0DUMl
a fifth of beethoven,walter murphy,2CDNjonGoGIrfGzAdhbOAF
disco duck,rick dees,5gQ3nMRR1eph1wZJpoQweg
if you leave me,chicago,0KMGxYKeUzK9wc5DZCt3HT
rock'n me,steve miller,1orVKbp6vqtfAPOmvRofVq
tonight's the night,rod stewart,10LRRKPmx8uHcSxLVWK0ct
you don't have to,marilyn mccoo,2JurHS80N98Yt3CdIBYz9M
you make me feel,leo sayer,6gTrbqZnyljwXdYQTyBkSx
i wish,stevie wonder,687YZan9Gol1UVvbpUSO6Y
car wash,rose royce,2pbWkjtGtjkzBdZ95GFINm
torn between two lovers,mary macgregor,0uSrLvAGZPVkO2DgCj6DfC
blinded by the light,manfred mann's,7kNNylJ1kswWbHeRM6UDuE
new kid in town,eagles,6Zyz8lsnMFpIrCTuvGurCB
