,track_name,track_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
613,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,Bon Jovi,58lV9VcRSjABbAbfWS6skp,0.2670285252059561,0.9555001676462012,0,-2.947,0,-0.7833927225023004,-0.8132805135760904,-0.13119431645169632,-0.15652675426049922,0.7339988596059688,122.805,4,3:42,0.8337175293995085,0.9578555527627974,0.38128115723138656,0.490044298074529
614,The Next Time I Fall,7zSDDsIlks515d0tZGM64x,Peter Cetera With Amy Grant,5xWPOujQqd4wXyB08slZ9Z,0.45838400483759667,0.035920376747860194,8,-10.178,1,-0.8820081581972821,0.05723978434587518,0.36215880912721854,-0.8481459141210878,-0.15498225285056744,118.223,4,3:46,0.04009004807963534,0.9797312457325735,0.2270633058358542,-0.033271278573301255
615,The Way It Is,6V50MyHPGhEmwYu0Wdyf0t,Bruce Hornsby & The Range,7CwJ4VEWs7HV7MWQt9cgyk,0.34396562916296913,0.5212802482510364,7,-12.203,1,-0.8798685565155885,0.380683418070936,0.753568417271617,-0.6444357479303658,0.24244272697850766,111.166,4,4:57,0.8986963285771266,1.0,-0.24075807588858333,0.11947304886596521
616,Walk Like An Egyptian,1Jwc3ODLQxtbnS8M9TflSP,The Bangles,51l0uqRxGaczYr4271pVIC,0.5958213347024799,0.8520576088587644,11,-7.818,1,-0.5829517782384994,-0.9901467139397406,0.1362407869713691,-0.25787448133768964,0.7436420828786237,103.022,4,3:24,-0.3863089993714347,1.0,1.0,0.5915338955647846
617,Shake You Down,7wQ9alB79WZb0F5gFLbxSh,Gregory Abbott,6zdcmro5vDQSUjeioajL2r,0.7009824894335053,0.12260856869471515,11,-10.384,0,-0.885005350879218,0.22440754887157532,-1.0,-0.4140501195515651,0.7564503246786696,94.995,4,4:05,-0.15984376804125222,1.0,-0.002477068656295378,0.2756841206482099
618,At This Moment,2ys7ertrMVHK0z1oTj1Ujv,Billy Vera & The Beaters,1QQBo7mfkehMjDfz1tj5Pq,-0.03302976265362778,-0.42637099736837103,6,-12.999,1,-0.8411086315536904,0.15477546496183536,-0.16198498925509663,1.0000000000000002,-0.5370265088030852,131.828,5,4:21,-0.683325945665799,-0.2474192333258971,0.7262910859787983,0.6991980223029031
619,Open Your Heart,3kme5Qos8h04yrKxsgur79,Madonna,6tbjWDEIzxoDsBA1FuhfPW,0.4779115557048086,0.8644187147553519,5,-5.039,1,-0.7566880077598339,-0.9251437715023578,-1.0,-0.7842803310125828,0.8165330722979756,113.238,4,3:49,0.9031755896295082,1.0,0.7641121419372523,0.5344620740477513
620,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,Bon Jovi,58lV9VcRSjABbAbfWS6skp,0.24986603903445026,0.8458574316122636,0,-3.757,1,-0.8551249719270003,-0.7820549959423885,0.26438947334923957,-0.27195973734757584,0.7048764308680797,122.509,4,4:09,0.6911808176957097,1.0,0.3848543961794153,0.33260425634618973
621,Jacob's Ladder,0huRoriGPIi0vSHFV2f3C9,Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,0.5043320178673008,0.32409217742231955,10,-13.021,1,-0.8730288197406533,-0.9568041174383272,-1.0,-0.7225452635319733,0.47490696737250127,117.68,4,3:33,0.7135730925761619,0.963705306579481,0.5832114494091032,0.2608109429646466
622,Lean On Me,28sxgM4sBLWbHq9KbOLuE8,Club Nouveau,4kEAjV4pCBOkoowYYQydvO,0.6580390801305844,0.5711276192557035,0,-7.595,1,-0.30970673452655184,-0.8451206066985335,-1.0,-0.8153424149087656,0.5478810170469532,176.634,4,5:57,0.19673041064728936,0.9753693551335216,0.43442059803919175,0.03404734412916133
