,Song,Artist
1458,glory of love,peter cetera
1460,papa don't preach,madonna
1462,higher love,steve winwood
1463,venus,bananarama
1464,take my breath away,berlin
1465,stuck with you,huey lewis the news
1468,when i think of,janet jackson
1470,true colors,cyndi lauper
1472,amanda,boston
1474,human,the human league
1475,you give love a,bon jovi
1476,the next time i,peter cetera with amy
1477,the way it is,bruce hornsby the range
1478,walk like an egyptian,the bangles
1482,shake you down,gregory abbott
1483,at this moment,billy vera the beaters
1485,open your heart,madonna
1486,livin' on a prayer,bon jovi
1490,jacob's ladder,huey lewis the news
1491,lean on me,club nouveau
1493,nothing's gonna stop us,starship
1495,i knew you were,aretha franklin george michael
1497,died in your arms,cutting crew
1499,with or without you,u2
1502,you keep me hangin',kim wilde
1503,always,atlantic starr
1504,head to toe,lisa lisa and cult
1505,i wanna dance with,whitney houston
1507,alone,heart
1510,shakedown,bob seger
1511,i still haven't found,u2
1513,who's that girl,madonna
1514,la bamba,los lobos
1517,i just can't stop,michael jackson with siedah
1518,didn't we almost have,whitney houston
1520,here i go again,whitesnake
1521,lost in emotion,lisa lisa and cult
1522,bad,michael jackson
1524,i think we're alone,tiffany
1526,mony mony,billy idol
1527,the time of my,bill medley jennifer warnes
1528,heaven is a place,belinda carlisle
1529,faith,george michael
1533,so emotional,whitney houston
1534,got my mind set,george harrison
1535,the way you make,michael jackson
1536,need you tonight,inxs
1537,could've been,tiffany
1539,seasons change,expose
1540,father figure,george michael
1542,never gonna give you,rick astley
1544,man in the mirror,michael jackson
1546,get outta my dreams,billy ocean
1548,where do broken hearts,whitney houston
1550,wishing well,terence trent d'arby
1551,anything for you,gloria estefan miami sound
1553,one more try,george michael
1556,together forever,rick astley
1557,foolish beat,debbie gibson
1558,dirty diana,michael jackson
1559,the flame,cheap trick
1561,hold on to the,richard marx
1562,roll with it,steve winwood
1566,monkey,george michael
1568,sweet child o' mine,guns n' roses
1570,don't worry be happy,bobby mcferrin
1572,love bites,def leppard
1573,red red wine,ub40
1574,groovy kind of love,phil collins
1576,kokomo,the beach boys
1577,wild wild west,the escape club
1578,bad medicine,bon jovi
1580,baby i love your,will to power
1581,look away,chicago
1583,every rose has its,poison
1586,my prerogative,bobby brown
1587,two hearts,phil collins
1589,when i'm with you,sheriff
1590,straight up,paula abdul
1593,lost in your eyes,debbie gibson
1596,the living years,mike the mechanics
1597,eternal flame,the bangles
1598,the look,roxette
1599,she drives me crazy,fine young cannibals
1600,like a prayer,madonna
1603,i'll be there for,bon jovi
1604,forever your girl,paula abdul
1606,rock on,michael damian
1607,wind beneath my wings,bette midler
1608,i'll be loving you,new kids on the
1609,satisfied,richard marx
1610,baby don't forget my,milli vanilli
1611,good thing,fine young cannibals
1612,if you don't know,simply red
1613,toy soldiers,martika
1615,batdance,prince
1616,right here waiting,richard marx
1619,cold hearted,paula abdul
1620,hangin' tough,new kids on the
1621,don't wanna lose you,gloria estefan
1622,girl i'm gonna miss,milli vanilli
1624,miss you much,janet jackson
1628,listen to your heart,roxette
1629,when i see you,bad english
1631,blame it on the,milli vanilli
1633,we didn't start the,billy joel
1635,another day in paradise,phil collins
1639,how am i supposed,michael bolton
1642,opposites attract,paula abdul
1645,escapade,janet jackson
1648,black velvet,alannah myles
1650,love will lead you,taylor dayne
1651,i'll be your everything,tommy page
1652,nothing compares 2 u,sinead o'connor
1656,vogue,madonna
1659,hold on,wilson phillips
1660,it must have been,roxette
1662,step by step,new kids on the
1665,she ain't worth it,glenn medeiros
1667,vision of love,mariah carey
1671,if wishes came true,sweet sensation
1672,blaze of glory,jon bon jovi
1673,release me,wilson phillips
1675,love and affection,nelson
1676,close to you,maxi priest
1677,praying for time,george michael
1678,i don't have the,james ingram
1679,black cat,janet jackson
1680,ice ice baby,vanilla ice
1681,love takes time,mariah carey
1684,i'm your baby tonight,whitney houston
1685,because i love you,stevie b
1689,justify my love,madonna
1691,love will never do,janet jackson
1692,the first time,surface
1694,gonna make you sweat,c c music factory
1696,all the man that,whitney houston
1698,someday,mariah carey
1700,one more try,timmy t.
1701,coming out of the,gloria estefan
1703,i've been thinking about,londonbeat
1704,you're in love,wilson phillips
1705,baby baby,amy grant
1707,joyride,roxette
1708,i like the way,hi-five
1709,i don't wanna cry,mariah carey
1711,more than words,extreme
1712,rush rush,paula abdul
1717,unbelievable,emf
1718,i do it for,bryan adams
1725,the promise of a,paula abdul
1726,i adore mi amor,color me badd
1728,good vibrations,marky mark the funky
1729,emotions,mariah carey
1732,romantic,karyn white
1733,cream,prince and the n.p.g.
1735,when a man loves,michael bolton
1736,set adrift on memory,p.m. dawn
1737,black or white,michael jackson
1744,all 4 love,color me badd
1745,don't let the sun,george michael elton john
1746,i'm too sexy,right said fred
1749,to be with you,mr. big
1752,save the best for,vanessa williams
1757,jump,kris kross
1765,i'll be there,mariah carey
1767,baby got back,sir mix-a-lot
1772,this used to be,madonna
1773,end of the road,boyz ii men
1786,how do you talk,the heights
1788,i will always love,whitney houston
1802,a whole new world,peabo bryson regina belle
1803,informer,snow
1810,freak me,silk
1812,that's the way love,janet jackson
1820,weak,swv
1822,can't help falling in,ub40
1829,dreamlover,mariah carey
1837,i'd do anything for,meat loaf
1842,again,janet jackson
1844,hero,mariah carey
1848,all for love,bryan adams rod stewart
1851,the power of love,celine dion
1855,the sign,ace of base
1859,bump n' grind,r. kelly
1865,i swear,all-4-one
1876,stay,lisa loeb nine stories
1879,i'll make love to,boyz ii men
1893,on bended knee,boyz ii men
1895,here comes the hotstepper,ini kamoze
1901,creep,tlc
1905,take a bow,madonna
1912,this is how we,montell jordan
1919,have you ever really,bryan adams
1924,waterfalls,tlc
1931,kiss from a rose,seal
1932,you are not alone,michael jackson
1933,gangsta's paradise,coolio
1936,fantasy,mariah carey
1944,exhale,whitney houston
1945,one sweet day,mariah carey boyz ii
1961,because you loved me,celine dion
1967,always be my baby,mariah carey
1969,tha crossroads,bone thugs-n-harmony
1977,how do u want,2pac
1979,you're makin' me high,toni braxton
1980,macarena,los del rio
1994,no diggity,blackstreet
1998,un-break my heart,toni braxton
2009,wannabe,spice girls
2013,can't nobody hold me,puff daddy
2019,hypnotize,the notorious b.i.g.
2022,mmmbop,hanson
2025,i'll be missing you,puff daddy faith evans
2036,mo money mo problems,the notorious b.i.g.
2038,honey,mariah carey
2041,4 seasons of loneliness,boyz ii men
2042,candle in the wind,elton john
2056,truly madly deeply,savage garden
2058,together again,janet
2060,nice & slow,usher
2062,my heart will go,celine dion
