uri,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
spotify:track:4AniPkv5vgdE1n6VKreiyI,Big Girls Don't Cry,Fergie,0.707,0.642,7,-4.271,1,0.0337,0.20400000000000001,0.0,0.0925,0.249,113.083,4AniPkv5vgdE1n6VKreiyI,https://api.spotify.com/v1/tracks/4AniPkv5vgdE1n6VKreiyI,https://api.spotify.com/v1/audio-analysis/4AniPkv5vgdE1n6VKreiyI,268120,4,5912046,268.12,22050,1,0.0,257.06232,0.824,0.99,0.793,0.882
spotify:track:66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),Soulja Boy Tell'em,0.733,0.74,0,-2.18,1,0.09050000000000001,0.513,0.0,0.0468,0.799,140.2,66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933,4,4893630,221.93333,22050,1,0.0,221.93333,0.374,1.0,0.823,0.704
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,Stronger,Kanye West,0.617,0.716,1,-7.858,1,0.136,0.0056,0.0,0.40800000000000003,0.496,104.014,0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/tracks/0j2T0R9dR9qdJYsB7ciXhf,https://api.spotify.com/v1/audio-analysis/0j2T0R9dR9qdJYsB7ciXhf,311867,4,6876660,311.86667,22050,1,0.12168,307.68182,0.392,1.0,0.41,0.276
spotify:track:3wKKkGVn7cVSfgPeYYIiXG,Kiss Kiss,Chris Brown Featuring T-Pain,0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,3wKKkGVn7cVSfgPeYYIiXG,https://api.spotify.com/v1/tracks/3wKKkGVn7cVSfgPeYYIiXG,https://api.spotify.com/v1/audio-analysis/3wKKkGVn7cVSfgPeYYIiXG,250667,3,5527200,250.66667,22050,1,0.08145,250.66667,0.465,0.45,0.386,0.442
spotify:track:0mZ5GyrHG908lqrHaTw4hi,No One,Alicia Keys,0.641,0.552,1,-5.423,0,0.028300000000000002,0.027,4.63e-06,0.148,0.152,90.098,0mZ5GyrHG908lqrHaTw4hi,https://api.spotify.com/v1/tracks/0mZ5GyrHG908lqrHaTw4hi,https://api.spotify.com/v1/audio-analysis/0mZ5GyrHG908lqrHaTw4hi,254524,4,5612246,254.52364,22050,1,0.06014,244.63383,0.48,1.0,0.541,0.831
spotify:track:0CAfXk7DXMnon4gLudAp7J,Low,Flo Rida Featuring T-Pain,0.918,0.609,10,-5.64,0,0.0791,0.09280000000000001,0.0,0.139,0.304,128.008,0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4,5102370,231.4,22050,1,2.70512,227.19565,0.717,1.0,0.239,0.369
spotify:track:5j0McHPthKpOXRr3fBq8M0,Love In This Club,Usher Featuring Young Jeezy,0.5730000000000001,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.34600000000000003,140.012,5j0McHPthKpOXRr3fBq8M0,https://api.spotify.com/v1/tracks/5j0McHPthKpOXRr3fBq8M0,https://api.spotify.com/v1/audio-analysis/5j0McHPthKpOXRr3fBq8M0,259720,4,5726826,259.72,22050,1,0.0,250.20082,0.059,0.87,0.544,0.561
spotify:track:7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE,262467,4,5787390,262.46667,22050,1,0.3605,257.46286,0.216,0.943,0.347,0.319
spotify:track:2aEuXA1KswHlCGPOuPmCOW,Touch My Body,Mariah Carey,0.714,0.665,4,-7.736,0,0.0509,0.09960000000000001,0.0,0.226,0.842,78.515,2aEuXA1KswHlCGPOuPmCOW,https://api.spotify.com/v1/tracks/2aEuXA1KswHlCGPOuPmCOW,https://api.spotify.com/v1/audio-analysis/2aEuXA1KswHlCGPOuPmCOW,204733,4,4514370,204.73334,22050,1,0.0,197.73534,0.292,0.985,0.209,0.207
spotify:track:1pm7lQGl6mvKWDxesZTVFp,Lollipop,Lil Wayne Featuring Static Major,0.833,0.43,0,-9.39,1,0.08270000000000001,0.0606,0.0033100000000000004,0.124,0.461,148.074,1pm7lQGl6mvKWDxesZTVFp,https://api.spotify.com/v1/tracks/1pm7lQGl6mvKWDxesZTVFp,https://api.spotify.com/v1/audio-analysis/1pm7lQGl6mvKWDxesZTVFp,299333,4,6600300,299.33334,22050,1,0.0,297.24445,0.848,1.0,0.42,0.418
