Song,Artist,Track ID,Artist ID,Album ID
Lightnin' Strikes,Lou Christie,2OQhFe5jjTnMWaaDRZxz31,5bLcI9Jo6RyrrHzG9veVyn,0MipwoxU4Q2jAlIYcN23Dq
These Boots Are Made For Walkin',Nancy Sinatra,2HEgBBls7l0smWTxPx0MtZ,3IZrrNonYELubLPJmqOci2,1J3CtRxcG9Tkuw2xQ59NEk
The Ballad Of The Green Berets,SSgt Barry Sadler,0yjNmllr3Ew6f97TqPuEqa,5r0O4LLn9wHEuYxKmGzUB5,0pNEKMHYapOPzulMsRdupj
(You're My) Soul And Inspiration,The Righteous Brothers,5ZHOiRqKOzgFMfMAu8cwzp,4b0WsB47XCa9F83BmwQ7WX,5CFmNamq1ceXn8RFJ9i7p6
Good Lovin',The Young Rascals,0XnhQGfqfi5CnZXcONJuI5,5X3TuTi9OIsJXMGxPwTKM2,2ZhMMZobSh6Pkkv8EK82Fp
Monday; Monday,The Mamas & The Papas,3EFb1qDgIqf9MegIryKtDj,1bs7HoMkSyQwcobCpE9KpN,76oMr4Y2pOtcrvZLc2ZikF
When A Man Loves A Woman,Percy Sledge,51FpzuGkRYXFgsE2zXt9av,3rRmDmzPcAFwcUDvG5gBqO,0lj5tDBUt1i1b1Llobu23M
Paint It; Black,The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8,22bE4uQ6baNwSHPVcDxLCe,72qrnM4yUNMDDlWiqKc8iY
Paperback Writer,The Beatles,0Ui8KPWZbJJQ2Y0CIQuVqX,3WrFJ7ztbogyGnTHbHJFl2,7vEJAtP3KgKSpOHVgwm3Eh
Strangers In The Night,Frank Sinatra,74VR3AkGPhbYXnxcOYa16x,1Mxqyy3pSjf8kZZL4QVxS0,1kyb5tomEXcA106V57puFW
Hanky Panky,Tommy James And The Shondells,3uqEiaO6MUoM89nLSIs05c,01hRNr3yF5bYnPq4wZ88iI,41ZlNC1lzHGUyI558jhWNd
Wild Thing,The Troggs,7jGzYUZ2Bgg8BDfYlQRfn8,57xdnSVt4ahJCIXYLieQ25,1myVNI7Ucy8g9HudbJ8Vu2
